***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215487;
PM number         : 20101607;
Serial number     : FB3-AOT-03-762      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 68372;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 26.3 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA o chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 56.46 at 010.0°C amp 190400;
100.00%a.s.phase 2: 29.81 at 010.0°C amp 101300;
Date   (ddmmyy)   : 240918;
Pressure (mBar)   : 1020;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
25/10/18;
21:00:01;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 21:00:01; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/°; amp; temp/°C; ErrorMessage;
25/10/18;   21:00:01;       0.000;  76.017;   30.35;   89646;   20.00; E8;
25/10/18;   21:00:02;       0.017;  76.052;   30.34;   89634;   20.00; E8;
25/10/18;   21:00:03;       0.034;  76.069;   30.34;   89616;   20.00; E8;
25/10/18;   21:00:04;       0.051;  76.052;   30.34;   89615;   20.00; E8;
25/10/18;   21:00:05;       0.068;  76.086;   30.34;   89598;   20.00; E8;
25/10/18;   21:00:06;       0.085;  76.034;   30.35;   89598;   20.00; E8;
25/10/18;   21:00:07;       0.101;  76.017;   30.35;   89611;   20.00; E8;
25/10/18;   21:00:08;       0.118;  76.069;   30.34;   89605;   20.00; E8;
25/10/18;   21:00:09;       0.135;  76.052;   30.35;   89594;   20.00; E8;
25/10/18;   21:00:10;       0.152;  76.086;   30.34;   89580;   20.00; E8;
25/10/18;   21:00:11;       0.169;  76.121;   30.33;   89586;   20.00; E8;
25/10/18;   21:00:12;       0.186;  76.052;   30.34;   89569;   20.00; E8;
25/10/18;   21:00:13;       0.203;  76.034;   30.35;   89574;   20.00; E8;
25/10/18;   21:00:14;       0.220;  76.069;   30.34;   89606;   20.00; E8;
25/10/18;   21:00:15;       0.237;  76.069;   30.34;   89582;   20.00; E8;
25/10/18;   21:00:16;       0.254;  76.156;   30.33;   89556;   20.00; E8;
25/10/18;   21:00:17;       0.271;  76.173;   30.33;   89588;   20.00; E8;
25/10/18;   21:00:18;       0.288;  76.138;   30.33;   89555;   20.00; E8;
25/10/18;   21:00:19;       0.305;  76.086;   30.34;   89544;   20.00; E8;
25/10/18;   21:00:20;       0.321;  76.086;   30.34;   89557;   20.00; E8;
25/10/18;   21:00:21;       0.338;  76.104;   30.34;   89550;   20.00; E8;
25/10/18;   21:00:22;       0.355;  76.156;   30.33;   89545;   20.00; E8;
25/10/18;   21:00:23;       0.372;  76.190;   30.33;   89545;   20.00; E8;
25/10/18;   21:00:24;       0.389;  76.156;   30.33;   89531;   20.00; E8;
25/10/18;   21:00:25;       0.406;  76.138;   30.33;   89550;   20.00; E8;
25/10/18;   21:00:26;       0.423;  76.104;   30.34;   89542;   20.00; E8;
25/10/18;   21:00:27;       0.440;  76.104;   30.34;   89532;   20.00; E8;
25/10/18;   21:00:28;       0.457;  76.138;   30.33;   89542;   20.00; E8;
25/10/18;   21:00:29;       0.474;  76.190;   30.33;   89519;   20.00; E8;
25/10/18;   21:00:30;       0.491;  76.225;   30.32;   89556;   20.00; E8;
25/10/18;   21:00:31;       0.508;  76.242;   30.32;   89544;   20.00; E8;
25/10/18;   21:00:32;       0.525;  76.260;   30.31;   89558;   20.00; E8;
25/10/18;   21:00:33;       0.542;  76.225;   30.32;   89537;   20.00; E8;
25/10/18;   21:00:34;       0.559;  76.190;   30.32;   89533;   20.00; E8;
25/10/18;   21:00:35;       0.575;  76.190;   30.32;   89525;   20.00; E8;
25/10/18;   21:00:36;       0.592;  76.121;   30.34;   89537;   20.00; E8;
25/10/18;   21:00:37;       0.609;  76.104;   30.34;   89530;   20.00; E8;
25/10/18;   21:00:38;       0.626;  76.069;   30.34;   89519;   20.00; E8;
25/10/18;   21:00:39;       0.643;  76.069;   30.34;   89519;   20.00; E8;
25/10/18;   21:00:40;       0.660;  76.069;   30.34;   89525;   20.00; E8;
25/10/18;   21:00:41;       0.677;  76.086;   30.34;   89519;   20.00; E8;
25/10/18;   21:00:42;       0.694;  76.121;   30.34;   89513;   20.00; E8;
25/10/18;   21:00:43;       0.711;  76.138;   30.33;   89506;   20.00; E8;
25/10/18;   21:00:44;       0.728;  76.225;   30.32;   89520;   20.00; E8;
25/10/18;   21:00:45;       0.745;  76.208;   30.32;   89538;   20.00; E8;
25/10/18;   21:00:46;       0.762;  76.173;   30.33;   89518;   20.00; E8;
25/10/18;   21:00:48;       0.779;  76.138;   30.33;   89511;   20.00; E8;
25/10/18;   21:00:49;       0.796;  76.121;   30.34;   89493;   20.00; E8;
25/10/18;   21:00:50;       0.813;  76.138;   30.33;   89475;   20.00; E8;
25/10/18;   21:00:51;       0.830;  76.173;   30.33;   89475;   20.00; E8;
25/10/18;   21:00:52;       0.846;  76.190;   30.32;   89525;   20.00; E8;
25/10/18;   21:00:53;       0.863;  76.173;   30.33;   89486;   20.00; E8;
25/10/18;   21:00:54;       0.880;  76.190;   30.32;   89486;   20.00; E8;
25/10/18;   21:00:55;       0.897;  76.208;   30.32;   89488;   20.00; E8;
25/10/18;   21:00:56;       0.914;  76.208;   30.32;   89493;   20.00; E8;
25/10/18;   21:00:57;       0.931;  76.208;   30.32;   89475;   20.00; E8;
25/10/18;   21:00:58;       0.948;  76.173;   30.33;   89500;   20.00; E8;
25/10/18;   21:00:59;       0.965;  76.121;   30.34;   89462;   20.00; E8;
25/10/18;   21:01:00;       0.982;  76.104;   30.34;   89441;   20.00; E8;
25/10/18;   21:01:01;       0.999;  76.034;   30.35;   89486;   20.00; E8;
25/10/18;   21:01:02;       1.016;  76.017;   30.35;   89462;   20.00; E8;
25/10/18;   21:01:03;       1.033;  76.086;   30.34;   89474;   20.00; E8;
25/10/18;   21:01:04;       1.050;  76.104;   30.34;   89457;   20.00; E8;
25/10/18;   21:01:05;       1.067;  76.138;   30.33;   89492;   20.00; E8;
25/10/18;   21:01:06;       1.084;  76.190;   30.32;   89457;   20.00; E8;
25/10/18;   21:01:07;       1.100;  76.156;   30.33;   89462;   20.00; E8;
25/10/18;   21:01:08;       1.117;  76.208;   30.32;   89449;   20.00; E8;
25/10/18;   21:01:09;       1.134;  76.242;   30.32;   89443;   20.00; E8;
25/10/18;   21:01:10;       1.151;  76.225;   30.32;   89464;   20.00; E8;
25/10/18;   21:01:11;       1.168;  76.225;   30.32;   89469;   20.00; E8;
25/10/18;   21:01:12;       1.185;  76.138;   30.33;   89455;   20.00; E8;
25/10/18;   21:01:13;       1.202;  76.104;   30.34;   89455;   20.00; E8;
25/10/18;   21:01:14;       1.219;  76.104;   30.34;   89455;   20.00; E8;
25/10/18;   21:01:15;       1.236;  76.138;   30.33;   89444;   20.00; E8;
25/10/18;   21:01:16;       1.253;  76.225;   30.32;   89450;   20.00; E8;
25/10/18;   21:01:17;       1.270;  76.208;   30.32;   89435;   20.00; E8;
25/10/18;   21:01:18;       1.287;  76.225;   30.32;   89455;   20.00; E8;
25/10/18;   21:01:19;       1.304;  76.138;   30.33;   89435;   20.00; E8;
25/10/18;   21:01:20;       1.321;  76.052;   30.34;   89424;   20.00; E8;
25/10/18;   21:01:21;       1.337;  76.052;   30.34;   89423;   20.00; E8;
25/10/18;   21:01:22;       1.354;  76.034;   30.35;   89410;   20.00; E8;
25/10/18;   21:01:23;       1.371;  76.086;   30.34;   89412;   20.00; E8;
25/10/18;   21:01:24;       1.388;  76.104;   30.34;   89423;   20.00; E8;
25/10/18;   21:01:25;       1.405;  76.156;   30.33;   89398;   20.00; E8;
25/10/18;   21:01:26;       1.422;  76.173;   30.33;   89423;   20.00; E8;
25/10/18;   21:01:27;       1.439;  76.173;   30.33;   89405;   20.00; E8;
25/10/18;   21:01:28;       1.456;  76.156;   30.33;   89410;   20.00; E8;
25/10/18;   21:01:29;       1.473;  76.138;   30.33;   89392;   20.00; E8;
25/10/18;   21:01:30;       1.490;  76.086;   30.34;   89411;   20.00; E8;
25/10/18;   21:01:31;       1.507;  76.069;   30.34;   89411;   20.00; E8;
25/10/18;   21:01:32;       1.524;  76.121;   30.33;   89380;   20.00; E8;
25/10/18;   21:01:33;       1.541;  76.086;   30.34;   89391;   20.00; E8;
25/10/18;   21:01:34;       1.557;  76.104;   30.34;   89386;   20.00; E8;
25/10/18;   21:01:35;       1.574;  76.104;   30.34;   89405;   20.00; E8;
25/10/18;   21:01:36;       1.591;  76.086;   30.34;   89399;   20.00; E8;
25/10/18;   21:01:37;       1.608;  76.104;   30.34;   89385;   20.00; E8;
25/10/18;   21:01:38;       1.625;  76.086;   30.34;   89392;   20.00; E8;
25/10/18;   21:01:39;       1.642;  76.156;   30.33;   89374;   20.00; E8;
25/10/18;   21:01:40;       1.659;  76.121;   30.34;   89367;   20.00; E8;
25/10/18;   21:01:41;       1.676;  76.138;   30.33;   89379;   20.00; E8;
25/10/18;   21:01:42;       1.693;  76.173;   30.33;   89379;   20.00; E8;
25/10/18;   21:01:43;       1.710;  76.138;   30.33;   89367;   20.00; E8;
25/10/18;   21:01:44;       1.727;  76.190;   30.32;   89342;   20.00; E8;
25/10/18;   21:01:45;       1.744;  76.225;   30.32;   89381;   20.00; E8;
25/10/18;   21:01:46;       1.761;  76.190;   30.33;   89367;   20.00; E8;
25/10/18;   21:01:47;       1.778;  76.173;   30.33;   89348;   20.00; E8;
25/10/18;   21:01:48;       1.794;  76.121;   30.34;   89360;   20.00; E8;
25/10/18;   21:01:49;       1.811;  76.104;   30.34;   89353;   20.00; E8;
25/10/18;   21:01:50;       1.828;  76.156;   30.33;   89373;   20.00; E8;
